Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Salary
 Back Office Executive|data Entry Operators|domestic BPO,0 - 3 yrs, marketing/ data entry/ computer operator/ inbound process/ backend/ non voice/ chat process/ account/ part time/ BPO/ back office processing,Other,"Mumbai,Pune","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher,4066
 Sr Equity Advisor - 5 nos,6 - 11 yrs, communication skills/ market research/ shares,Investment Banking,Ahmedabad,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Equity Manager,3655
 Data Scientist - Sql/nosql,2 - 6 yrs, Data Modeling/ R/ SQL/ Algorithm/ Data Visualization/ Machine Learning/ Python/ Data Science/ Scala/ NoSQL,Analytics & BI,Mumbai,Analytics & Business Intelligence,"IT-Software, Software Services",Data Analyst,6276
 Hiring For Day Shift Non Voice Sal. Up To 24K,0 - 4 yrs, bpo fresher/ call center/ communication skills/ international bpo/ IT Helpdesk/ customer support/ service desk/ technical helpdesk/ us/ international voice/ freshers/ customer care/ uk,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),6458
 React.js Developer,1 - 3 yrs, JSF/ jQuery/ Database/ Struts/ MySQL/ Javascript,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,1637
 Requirement in Private bank for BDE,0 - 2 yrs, Banker/ Business Development Manager/ Private Banker/ Business Development Executive/ Sales Officer/ Bde/ Sales Manager/ Senior Business Analyst/ Sales/ New Business/ Business Analyst/ Business Development,Accounts,"Delhi NCR,Gurgaon,Noida","Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Executive/Accountant,3331
 Physics- TGT,2 - 5 yrs, Mentor/ Trainer/ Advisor/ Counselor/ Teaching,Subject Teachers (TGT/PGT),Delhi,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Physics Teacher,5805
 Technical Sales Executive -mumbai,2 - 7 yrs, Technical Sales/ sales engineer/ Sales Executive Activities,,Mumbai,Other,"Construction, Engineering, Cement, Metals",Other,2750
 Support Executive,1 - 3 yrs, Direct marketing/ Support Executive/ IT hardware/ Management/ Interpersonal skills,Sales Support,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Telesales/Telemarketing Executive/Officer,4775
 J. Stores - Manager,2 - 4 yrs, Stores/ Cables/ Organization skills/ Analytical skills/ Educational qualification/ Electricals/ Inventory/ Forecasting/ Technical/ Management,HR/ Recruitment / IR,Pune,"HR , Recruitment , Administration , IR","Oil and Gas, Energy, Power, Infrastructure",Training Manager,2509
 Product Manager,5 - 7 yrs, marketting/ market research/ sales/ user experience/ tsm/ sales manager/ asm/ product pricing/ product management,Marketing,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Banking, Financial Services, Broking",Product/Brand Manager,2282
 Draughtsman,5 - 10 yrs, AutoCAD/ Costing/ Draughtsman/ Civil/ 3D,Architectural Services,Mumbai,"Architecture , Interior Design","Recruitment, Staffing",Draughtsman,5829
 Senior Java Tech Lead - Spring Boot/ Data Structure,5 - 10 yrs, Data Structure/ J2EE/ SaaS/ Java/ SOA/ Algorithm/ Spring Boot/ TDD/ API,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,5901
 BCOM (hiring for Top4) Internal Audit /compliance Call Vikas,2 - 7 yrs, Audit Compliance/ Compliance/ Internal Audit/ Auditing/ Mba Finance/ SOX,Accounts,"Delhi NCR,Gurgaon","Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant,3807
 ETL Datastage Developer,10 - 15 yrs, Business Analytics/ Agile Methodology/ Test Case Design/ Technical Management/ Design Development/ Unit Testing/ Big Data/ SQL Queries/ Spark/ Performance Tuning,Programming & Design,Hyderabad,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,2302
 Technical Lead,6 - 11 yrs, JQuery/ Node.Js/ Html5/ JSON/ Ajax/ CSS/ Bootstrap/ MySQL/ Javascript/ Core PHP,Programming & Design,Bengaluru,IT Software - System Programming,"IT-Software, Software Services",Team Lead/Technical Lead,5467
 Specialist - DV,4 - 8 yrs, Front end/ design studio/ SQL/ Strategy consulting/ Javascript/ Python/ QlikView/ MATLAB/ big data analytics,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Accounting, Finance",Software Developer,6808
" Office Assistant, Office Boy",0 - 2 yrs, Coffee/ computer operator/ office assistant/ Office Assistance/ Tea/ admin,,Mumbai,Other,"Courier, Transportation, Freight , Warehousing",Other,5312
 MES camster/apriso/hydra engineer,2 - 6 yrs, testing/ WIP/ net/ database/ Application development/ c/ Automation/ quality/ PLSQL/ application/ VB.NET/ Oracle database/ technical/ pl/ oracle/ sql/ tools/ development/ MS.net/ vb/ deployment/ server/ Sql Server 2008/ support/ Test cases/ design/ specification,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3187
 HR PMO Professional,6 - 9 yrs, Change management/ Stakeholder management/ Excel/ HR policies/ Relationship building/ Customer satisfaction/ Scheduling/ Visio/ Project management/ HR,Project Management,Pune,IT Software - Other,"IT-Software, Software Services",Project Manager-IT/Software,6556
 Principal Consultant,0 - 4 yrs, Business solutions/ account mining/ Project delivery/ Green field projects/ Delivery Lead/ Oracle Retail/ PDF/ Gap analysis/ Conceptualization/ Regulatory compliance,System Design/Implementation/ERP/CRM,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Functional Outside Consultant,2833
 Urgent Requirment For Central Processing Center- Mumbai,1 - 6 yrs, Open Office/ Banking/ Debit/ Document Verification/ Communication Skills/ Accounting Entries/ Dispute Management/ Problem Solving/ Finance,,Mumbai,Other,"Banking, Financial Services, Broking",Other,4855
 Cognos TM1 Developer (4 6 years),6 - 11 yrs, server/ MVC/ asp.net/ Cognos/ java/ sql/ ASP.Net MVC/ Sql Server 2008/ Javascript/ developer/ Problem/ SIDE,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3584
 Smart Web Developer,1 - 5 yrs, PL/ Java/ Business Analysts/ Lead Developers/ Architects/ JAVA/ SQL/ ios development/ PHP/ HTML/ XML/ development/ design,Programming & Design,Delhi,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3400
 Manager- Compensation and Benefits,10 - 15 yrs,,HR/ Recruitment / IR,Mumbai,"HR , Recruitment , Administration , IR","Media, Entertainment, Internet",Pay Roll/Compensation Manager,1617
 Civil Architect,5 - 10 yrs, Civil/ Engineering Design/ EPC/ Architect,Architectural Services,Mumbai,"Architecture , Interior Design","Strategy, Management Consulting Firms",Architect,4164
 Reconciliation Executive,0 - 2 yrs, Technology/ access controls/ Intellectual Property/ Asset Management/ CRM/ Vendor Management,Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),5777
 Oracle Sales Cloud Developer,3 - 8 yrs, oracle sales,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4016
 Opening For Sales and Marketing_nariman Point ,2 - 7 yrs, Marketing/ Sales,Retail Sales,"Mumbai,Mumbai Suburbs","Sales , Retail , Business Development","Banking, Financial Services, Broking",Area Sales Manager,3170
 Finance & OPS - Technical Consultant (dynamics Ax/365) @ Bangalore,2 - 7 yrs, business development/ data integrity/ proposal development/ cost management/ resource planning/ microsoft applications/ technical consultant/ microsoft dynamics ax/ strategy implementation/ enterprise applications/ process design,System Design/Implementation/ERP/CRM,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",ERP Consultant,4922
 Business Development Manager-digital / Export,5 - 8 yrs, international marketing/ business development/ digital marketing/ international business development/ international sales/ Export Marketing,Institutional Sales,Noida,"Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager,5866
 Sr. Software Engineer,4 - 9 yrs, Oracle/ Teradata/ PDF/ Unix/ Data warehousing/ Deployment/ Informatica/ Troubleshooting,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,1515
 Website Designer,0 - 2 yrs, CSS3/ jQuery/ Photoshop/ Analytical/ Ideas/ Wordpress/ Conceptualization/ Web designing/ Business Executive,Creative,Gurgaon,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer,1946
 Tech caller hiring a huge number of Executives.,2 - 5 yrs, International BPO/ Night shift/ Technical support/ Troubleshooting/ Email/ Recruitment/ Outbound/ Comp/ US shift/ iPhone,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),1511
